name,trial,channel,pce,jsc,voc,ff
25,a,d,8.545,20.784,0.81,0.491
25,a,e,9.266,19.585,0.8,0.572
25,a,f,9.771,19.478,0.8,0.606
25,b,a,8.884,20.78,0.81,0.51
25,b,b,8.949,20.714,0.79,0.529
25,b,c,8.292,19.105,0.78,0.538
25,b,d,0.559,1.073,0.8,0.63
25,b,e,1.239,2.214,0.78,0.694
25,b,f,11.447,23.387,0.8,0.592
25,c,a,9.442,21.604,0.81,0.522
25,c,b,9.874,20.903,0.81,0.564
25,c,c,10.583,20.973,0.81,0.603
25,c,d,9.201,20.819,0.81,0.528
25,c,e,9.789,20.325,0.8,0.582
25,c,f,10.566,20.511,0.81,0.615
25,d,a,9.066,21.874,0.78,0.514
25,d,b,9.947,21.312,0.79,0.571
25,d,c,10.804,21.147,0.8,0.618
25,d,d,8.244,23.115,0.77,0.448
25,d,e,9.468,23.8,0.77,0.5
25,d,f,9.018,22.927,0.77,0.494
3Repeat,b,a,10.065,23.801,0.77,0.531
3Repeat,b,b,11.169,24.371,0.77,0.576
3Repeat,b,c,11.936,23.443,0.77,0.64
3Repeat,b,d,0.361,0.542,0.77,0.836
3Repeat,b,e,0.35,0.57,0.77,0.772
3Repeat,b,f,11.316,22.011,0.76,0.654
3Repeat,c,a,10.062,23.678,0.76,0.541
3Repeat,c,b,10.898,23,0.76,0.603
3Repeat,c,c,11.078,21.74,0.75,0.657
3Repeat,c,d,9.439,23.926,0.75,0.509
3Repeat,c,e,10.101,23.461,0.74,0.563
3Repeat,c,f,10.836,22.635,0.75,0.617
3Repeat,d,a,9.549,27.43,0.73,0.461
3Repeat,d,b,10.976,27.427,0.73,0.53
3Repeat,d,c,11.474,26.801,0.71,0.583
3Repeat,d,d,8.662,22.095,0.72,0.527
3Repeat,d,e,0.311,0.582,0.72,0.719
3Repeat,d,f,9.756,21.309,0.71,0.624
4Repeat,a,a,10.43,24.928,0.76,0.532
4Repeat,a,b,11.484,25.275,0.76,0.578
4Repeat,a,c,10.702,24.179,0.75,0.571
4Repeat,a,d,8.822,21.956,0.74,0.525
4Repeat,a,e,9.797,22.079,0.75,0.572
4Repeat,a,f,10.302,21.598,0.75,0.615
4Repeat,b,a,8.955,24.187,0.73,0.491
4Repeat,b,b,10.347,24.617,0.75,0.542
4Repeat,b,c,11.679,26.14,0.75,0.576
4Repeat,b,d,9.105,22.321,0.73,0.54
4Repeat,b,e,0.014,0.036,0.68,0.528
4Repeat,b,f,10.303,21.885,0.74,0.615
4Repeat,c,a,8.787,24.065,0.73,0.484
4Repeat,c,b,10.42,23.762,0.76,0.558
